,crime_type,crime_nb,precinct,zipcode
737,Rape ,18,49,10461
738,Rape ,17,50,10463
739,Rape ,28,52,10467
740,Rape ,6,5,10013
741,Rape ,19,60,11224
742,Rape ,10,61,11223
743,Rape ,9,62,11214
744,Rape ,11,63,11210
745,Rape ,10,66,11218
746,Rape ,44,67,11226
747,Rape ,12,68,11220
748,Rape ,17,69,11236
749,Rape ,8,6,10011
750,Rape ,22,70,11230
751,Rape ,23,71,11225
752,Rape ,15,72,11232
753,Rape ,30,73,11212
754,Rape ,81,75,11208
755,Rape ,6,76,11231
756,Rape ,25,77,11213
757,Rape ,7,78,11217
758,Rape ,29,79,11211
759,Rape ,8,7,10002
760,Rape ,30,81,11221
761,Rape ,24,83,11237
762,Rape ,6,84,11201
763,Rape ,3,88,11205
764,Rape ,16,90,11211
765,Rape ,11,94,11222
766,Rape ,25,9,10003
767,Rape ,1,CPP,10024
768,Rape ,12,MNP,10019
769,Rape ,18,MSP,10001
770,Robbery ,55,100,11693
771,Robbery ,128,101,11691
772,Robbery ,226,102,11418
773,Robbery ,354,103,11432
774,Robbery ,171,104,11385
775,Robbery ,204,105,11428
776,Robbery ,263,106,11417
777,Robbery ,179,107,11365
778,Robbery ,148,108,11105
779,Robbery ,172,109,11354
780,Robbery ,89,10,10011
781,Robbery ,282,110,11368
782,Robbery ,44,111,11361
783,Robbery ,54,112,11375
784,Robbery ,251,113,11434
785,Robbery ,245,114,11103
786,Robbery ,312,115,11372
787,Robbery ,193,120,10301
788,Robbery ,150,121,None
789,Robbery ,56,122,10306
790,Robbery ,14,123,10307
791,Robbery ,140,13,10010
792,Robbery ,61,17,10017
793,Robbery ,82,19,10021
794,Robbery ,41,1,10013
795,Robbery ,53,20,10020
796,Robbery ,228,23,10029
797,Robbery ,124,24,10025
798,Robbery ,211,25,10035
799,Robbery ,118,26,10027
800,Robbery ,165,28,10027
801,Robbery ,149,30,10028
802,Robbery ,235,32,10030
803,Robbery ,141,33,10031
804,Robbery ,205,34,10033
805,Robbery ,394,40,10454
806,Robbery ,240,41,10459
807,Robbery ,290,42,10452
808,Robbery ,528,43,10472
809,Robbery ,399,44,10452
810,Robbery ,155,45,10465
811,Robbery ,313,46,10457
812,Robbery ,410,47,10466
